SMILES,Complexity,MolecularWeight,XLogP,RefLikeness
CCCCCCCCC(CCCCCC)OS(=O)O,209.6,292.5,5.2,0.07
CCCCCCCCCC(CCCCCCCCC)OS(=O)(=O)O,336.4,364.6,6.5,0.0
CCCCCCCCCCCCCCCCCCC(C)OS(=O)(=O)O,367.9,378.6,6.8,0.0
CCCCCCCCCCCCCCCCCCCCCCS(=O)(=O)O,365.6,390.7,7.7,0.06
CCCCCCCCCCC(CCCCCCCCC)OS(=O)O,271.6,362.6,7.2,0.07
CCCCCCCCCCCCCCCCCCOS(=O)O,234.4,334.6,6.4,0.0
CCCCCCCCCCCCCCCCCOS(=O)O,222.1,320.5,6.0,0.0
CCCCCCCCCCCCCCCCC(CC)COS(=O)O,271.6,362.6,7.0,0.02
CCCCCCCCCCCCCCCCCC=CCOS(=O)O,292.6,360.6,7.0,0.07
CCCCCCCCCCCCCCCCOS(=O)O,209.9,306.5,5.6,0.0
CCCCCCCCCCCCCCCCCCCCCS(=O)(=O)O,352.2,376.6,7.3,0.06
CCCCCCCCCCCCCCCS(=O)(=O)O,273.1,292.5,5.0,0.06
CCCCCCCCCCCCCCCCCCCS(=O)(=O)O,325.5,348.6,6.5,0.06
CCCC.CCCCCCCCCCCCCCCCOS(=O)(=O)O,326.6,380.6,7.1,0.05
CCCCCCCCCCCCCCCCOS(=O)(=O)O.CCOCC,342.1,396.6,6.3,0.01
CCCCCCCCCCC(CCCCCCCCCC)OS(=O)(=O)O,361.5,392.6,7.2,0.0
CCCCCCCCCCCCCCCCCCOS(=O)(=O)O,327.9,350.6,6.1,0.08
