SMILES,Complexity,MolecularWeight,XLogP,RefLikeness
CCCCCCCCCCCCCCCCC(CC)COS(=O)O,271.6,362.6,7.0,0.02
CCCCCCCCCCCCCCCCCCOS(=O)O,234.4,334.6,6.4,0.0
CCCCCCCCCCCCCCCCCC=CCOS(=O)O,292.6,360.6,7.0,0.07
CCCCCCCCCCCCCCCCOS(=O)O,209.9,306.5,5.6,0.0
CCCCCCCCCCCCCCCCCCC(C)OS(=O)(=O)O,367.9,378.6,6.8,0.0
CCCCCCCCCCC(CCCCCCC)OS(=O)(=O)O,340.9,350.6,6.1,0.0
CCCCCCCCCCCCC(CCCCCC)OS(=O)(=O)O,354.4,364.6,6.5,0.0
CCCCCCCCCCC(CCCCCCCCCC)OS(=O)(=O)O,361.5,392.6,7.2,0.0
CCCCCCCCCCCCCCCC=COS(=O)(=O)O,349.7,334.5,5.8,0.07
CCCCCCCCC(CCCCCCCC)S(=O)(=O)O,296.0,320.5,5.7,0.09
CCCCCCCCCCCCCCCCS(=O)(=O)OO,301.4,322.5,5.3,0.02
CCCCC(CC)CC(=C(CC)CCCC)S(=O)(=O)O,382.5,304.5,5.3,0.16
CCCCCCCCCCCCCCCCCS(=O)(=O)O,299.2,320.5,5.7,0.06
CCCCCCCCCCCCCCCCCCCCCCS(=O)(=O)O,365.6,390.7,7.7,0.06
CCC(C)CCCCCCCCCCCCCCCCS(=O)(=O)O,351.9,362.6,6.8,0.04
CCCCCCCCCCCCCCCCS(=O)(=O)O,286.1,306.5,5.4,0.06
CCCCCCCCCCCCCCCCCCS(=O)(=O)O,312.3,334.6,6.1,0.06
CCCCCCCC(CCCCCCC)S(=O)(=O)O,271.8,292.5,5.0,0.09
CCCC.CCCCCCCCCCCCCCCCOS(=O)(=O)O,326.6,380.6,7.1,0.05
CCCCCCCCCCCCC(CCC)OS(=O)(=O)O,314.2,322.5,5.3,0.0
CCCCCCCCCCCCCC(C)(C=C)S(=O)(=O)O,362.2,318.5,5.5,0.14
CCCCCCCCCCCCCC.C=CCOS(=O)(=O)O,300.6,336.5,5.7,0.01
CCCCCCCCCC(CCCCCCCCC)S(=O)(=O)O,320.5,348.6,6.5,0.09
CCCCCCCCCCC(CCCCCCCCCC)S(=O)(=O)O,345.3,376.6,7.3,0.09
CCCCCCCCCCCCCCC=COS(=O)(=O)[O-],336.2,319.5,5.1,0.13
