SMILES,XLogP,MolecularWeight,Complexity,RefLikeness
CCCCCCC(C)CCCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCCCCCCCCCOCCOS(=O)(=O)O,4.5,338.5,316.5,0.01
CCCCCCCC(CCCCC)CCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCCCCCCCC=CCCOS(=O)(=O)O,3.5,264.4,282.9,0.05
CCC(C)CCCCCCCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCC(C)CCCCCCCCCCCCCCCCCCOS(=O)(=O)O,7.5,406.7,395.1,0.1
CCCCCCCCCCCCOS(=O)(=O)O.[U],3.7,504.4,254.8,0.01
CCCCCCOS(=O)(=O)OO,1.3,198.2,186.1,0.03
CCCCCCCCCC(C)(C)CCCOS(=O)(=O)O,4.8,308.5,322.8,0.03
CCCCCCCCCCCCCCCCCCCCC=CC(CCCCCCCCCCCCCCCCCCC)COS(=O)(=O)O,15.5,699.2,735.1,0.03
CCC(C)CCCCCCCCCC(C)CCOS(=O)(=O)O,5.4,336.5,340.6,0.08
CCCCCCOCCOCCOS(=O)(=O)O,1.4,270.3,251.5,0.01
CCCCCCCCCCCCCCCOC(CCC)OS(=O)(=O)O,6.0,380.6,370.0,0.03
CCCCCCCCCCCCCCCCOS(=O)(=O)O.[In],4.9,437.3,307.3,0.01
CCCCCCC=CCCCCCCCCOS(=O)(=O)O,5.1,320.5,336.2,0.05
CCCCCCCCCCCCCCCCCCCCCCC(CCCCCC)COS(=O)(=O)O,10.6,518.9,506.5,0.05
CCCCCCCCCCCCC(C)(C)CCCCOS(=O)(=O)O,6.3,364.6,376.8,0.03
CCCCCCC[CH2-].CCCCCCCCOS(=O)(=O)O.[Na+],2.4,346.5,275.9,0.01
CCCC(C)CCCCCCCOS(=O)(=O)O,3.6,266.4,261.7,0.1
CCCCC(C)CCCCCCCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCCCCCCCC(CCCCCCCCCCC(CCCCCCCCCC)COS(=O)(=O)O)COS(=O)(=O)O,10.8,671.1,749.1,0.01
CCCCCCCOCCOCCOS(=O)(=O)O,1.8,284.4,264.7,0.01
CCCCCCCC(C)(C)CCCOS(=O)(=O)O,4.0,280.4,296.1,0.03
CCCCCC(CCC)COS(=O)(=O)O,2.8,238.3,235.8,0.05
CCCCCCCCCCOC(CC)S(=O)(=O)O,3.8,280.4,274.7,0.03
CCCCCCCCC=CCCCCCCCCCCCCOS(=O)(=O)O,7.4,404.7,418.0,0.05
