SMILES,Complexity,MolecularWeight,XLogP,RefLikeness
CCCCCCCCCCCC(COS(=O)(=O)O)C=CCCCC,390.2,362.6,6.1,0.03
CCCCCCCCC(CCCCCCCC)COS(=O)(=O)O,324.9,350.6,5.9,0.05
CCCCCCC(CCCC)CC(CCCC)COS(=O)(=O)O,354.0,350.6,5.8,0.03
CCCCCCCCCCCCCCOCCCCOS(=O)(=O)O,343.3,366.6,5.3,0.03
CCCCCCCCCC(CCCCCCCCC)COS(=O)(=O)O,349.9,378.6,6.7,0.05
C.CCCCCC=CCC=CCCCCCCCCOS(=O)(=O)O,399.6,362.6,6.3,0.05
CCCCCCC(CCCCCCCCCCCOS(=O)(=O)O)O,356.4,366.6,5.0,0.01
CC(C)CCCCCCCCCCCCCOS(=O)(=O)O,312.2,322.5,5.1,0.05
CCCCCCCCC=CCCCCCCCCOS(=O)(=O)O.[Na],369.2,371.5,5.5,0.01
CCCCCCCCCCCCCCC=COS(=O)(=O)O,336.2,320.5,5.4,0.07
CCCCCCCCC=CCCCCCCCCCOS(=O)(=O)O,376.8,362.6,6.2,0.05
CCCCCCCCCCCCCCCCCOS(=O)(=O)O,314.6,336.5,5.7,0.08
CCCCCCCCCCC(COS(=O)(=O)O)C=CCCCC,376.5,348.5,5.7,0.03
CCCCCCCCCCCCCCCCCCOS(=O)(=O)O.O,330.3,368.6,5.2,0.03
CCCCCCCC=CC(CCCCCC)COS(=O)(=O)O,362.9,334.5,5.3,0.03
CCCCCCCCCCCCC(C)(C)CCCCOS(=O)(=O)O,376.8,364.6,6.3,0.03
CCCCCCCCCCCCCCCCCCOS(=O)(=O)O,327.9,350.6,6.1,0.08
CCCCCC(C)CCCCCCC(C)COS(=O)(=O)O,327.2,322.5,5.0,0.03
CCCCCCCCCCCCCCCCCCCCCOS(=O)(=O)O,368.2,392.6,7.2,0.08
CCCCCCCCCCCCCCCOC(CCC)OS(=O)(=O)O,370.0,380.6,6.0,0.03
CCCCCCCCCCCCCCCCCCCOS(=O)(=O)O,341.3,364.6,6.5,0.08
CCCCCCC=CCCCCCCCCOS(=O)(=O)O,336.2,320.5,5.1,0.05
CCCCCCCC=CCCCCCCCCCOS(=O)(=O)O,363.2,348.5,5.8,0.05
CCCCCCCCCCCCCCCCCCCCOS(=O)(=O)O,354.7,378.6,6.8,0.08
CCCCCC=CCC=CCCCCCCCCOS(=O)(=O)O,399.2,346.5,5.6,0.05
CCCCCCCCCCCCCCCCOCCCCOS(=O)(=O)O,370.4,394.6,6.1,0.03
CCCCCCCCCCC=CCCCCCCCCOS(=O)(=O)O,390.5,376.6,6.6,0.05
CCCCCCCCCCCCCCCCCCOS(=O)(=O)O.[Ca],333.9,390.6,5.7,0.01
CCCC.CCCCCCCCCCCCCCCCOS(=O)(=O)O,326.6,380.6,7.1,0.05
