SMILES,XLogP,MolecularWeight,Complexity,RefLikeness
CCCCCCCSCCCCCCOS(=O)(=O)[O-].[Na+],0.7,334.5,284.1,0.13
CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],0.5,972.3,1122.6,0.11
[Li+].CCCCCCOS(=O)(=O)[O-],-2.0,188.2,178.0,0.1
CCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCOS(=O)(=O)[O-].[Na+].[Na+],-1.6,492.6,528.3,0.1
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].[Ce+4],13.9,1490.1,1575.4,0.13
CCCCCCCCCCCCOS(=O)(=O)[O-].CCOCC.[K+],1.4,378.6,294.8,0.13
CCCCCCCCCOCCCCOS(=O)(=O)[O-].[Na+],0.0,318.4,282.5,0.13
CCCCCCCC(CCCCCC)COS(=O)(=O)[O-].CCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[Ca+2],8.4,655.0,670.8,0.13
CCCCCOS(=O)[O-].CCCCCOS(=O)[O-].[Ca+2],1.6,342.5,196.2,0.14
CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].CCOCC.[Na+],3.0,418.6,348.3,0.13
CCCCCCCCCCCCCCCC(CCCCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCOS(=O)(=O)[O-].CCOCC.[NH4+],4.0,329.5,268.5,0.13
CCCCCCCCCCCCCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[Na+],6.1,498.8,470.7,0.1
CCCCCCCCCCCCOS(=O)(=O)OOCC.CCOCC.[Na],4.8,407.6,336.6,0.13
CCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCOS(=O)(=O)[O-].[Ca+2],4.0,486.7,476.0,0.1
CCCCCCCCCCCCOCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.3,472.7,431.7,0.13
C.CCCCCCCCCCCCOS(=O)(=O)[O-],4.0,281.4,249.7,0.04
CCCCCCCCCCC=CC(CCCCCCCCC)COS(=O)(=O)[O-].[K+],4.3,456.8,451.8,0.12
CCCCCCCCCCCCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[Na+],5.7,484.8,456.7,0.1
CCCCCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCCCCCCCC(CCCCCCCCC)COS(=O)(=O)[O-].[Na+],6.1,498.8,470.7,0.1
CCCCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[K+],4.9,472.8,428.9,0.1
